2024-07-31 11:25:15,028 | trainer | INFO  |  train.py:149  |  class0 acc0.71 recall:0.62 
2024-07-31 11:25:15,028 | trainer | INFO  |  train.py:149  |  class1 acc0.57 recall:0.67 
2024-07-31 11:25:15,342 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 7/16 Total Loss:0.1718 ACC:0.62 lr:0.00099778 
2024-07-31 11:25:15,342 | trainer | INFO  |  train.py:149  |  class0 acc0.62 recall:0.62 
2024-07-31 11:25:15,342 | trainer | INFO  |  train.py:149  |  class1 acc0.62 recall:0.62 
2024-07-31 11:25:15,353 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 8/16 Total Loss:0.1670 ACC:0.67 lr:0.00099778 
2024-07-31 11:25:15,353 | trainer | INFO  |  train.py:149  |  class0 acc0.70 recall:0.70 
2024-07-31 11:25:15,353 | trainer | INFO  |  train.py:149  |  class1 acc0.62 recall:0.62 
2024-07-31 11:25:15,364 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 9/16 Total Loss:0.1635 ACC:0.70 lr:0.00099778 
2024-07-31 11:25:15,364 | trainer | INFO  |  train.py:149  |  class0 acc0.75 recall:0.75 
2024-07-31 11:25:15,365 | trainer | INFO  |  train.py:149  |  class1 acc0.62 recall:0.62 
2024-07-31 11:25:15,375 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 10/16 Total Loss:0.1606 ACC:0.68 lr:0.00099778 
2024-07-31 11:25:15,375 | trainer | INFO  |  train.py:149  |  class0 acc0.69 recall:0.75 
2024-07-31 11:25:15,375 | trainer | INFO  |  train.py:149  |  class1 acc0.67 recall:0.60 
2024-07-31 11:25:15,385 | trainer | INFO  |  train.py:137  |  Traning Epoch:4/100 Current Batch: 11/16 Total Loss:0.1620 ACC:0.67 lr:0.00099778 
2024-07-31 11:25:15,385 | trainer | INFO  |  train.py:149  |  class0 acc0.69 recall:0.69 
2024-07-31 11:25:15,386 | trainer | INFO  |  train.py:149  |  class1 acc0.64 recall:0.64 
